Nama_Ruas,Kecamatan,Panjang,Lebar,Kondisi,15 April,15,16 April,16,17 April,17,18 April,18,19 April,19,20 April,20,21 April,21,22 April,22,23 April,23,24 April,24,25 April,25,26 April,26,27 April,27,28 April,28,29 April,29
Jl. Mulawarman 2,banyumanik,413 M,3 M,Baik,sedang,16 Menit,lancar, 16 Menit ,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,15 Menit,sedang,13 Menit,sedang,15 Menit,sedang,13 Menit,sedang,13 Menit,sedang,16 Menit,sedang,16 Menit,sedang,14 Menit,sedang,14 Menit,lancar,14 Menit
Jl. Waru Timur 1,banyumanik,430 M,4 M,Sedang,sedang,14 Menit,lancar,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,15 Menit,sedang,15 Menit,sedang,15 Menit,sedang,15 Menit,sedang,15 Menit,sedang,16 Menit,sedang,16 Menit,lancar,16 Menit,sedang,16 Menit,lancar,16 Menit
Jl. Sawunggaling 4,banyumanik,293 M,3 M,Baik,sedang,16 Menit,lancar,14 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,17 Menit,sedang,18 Menit,sedang,14 Menit,sedang,17 Menit,macet,14 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit
Jl. Durian Utara 2,banyumanik,416 M,3 M,Baik,sedang,14 Menit,lancar,12 Menit,macet,14 Menit,macet,14 Menit,macet,14 Menit,macet,13 Menit,macet,13 Menit,macet,13 Menit,sedang,12 Menit,macet,13 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Bukit Raya,banyumanik,"1,791 M",7 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit
Jl. Bukit Kusuma,banyumanik,402 M,3 M,Sedang,lancar,7 Menit,lancar,6 Menit,sedang,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Meit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Ngesrep Timur 2,banyumanik,253 M,3 M,Sedang,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,sedang,7 Menit,sedang,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,sedang,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Ngesrep Timur 4,banyumanik,359 M,3 M,Sedang,lancar,7 Menit,lancar,7 Menit,sedang,8 Menit,sedang,8 Menit,sedang,8 Menit,sedang,8 Menit,sedang,9 Menit,sedang,8 Menit,lancar,6 Menit,sedang,9 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Ngesrep Timur 3,banyumanik,231 M,3 M,Sedang,sedang,9 Menit,lancar,9 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,sedang,8 Menit,sedang,7 Menit,sedang,7 Menit,lancar,6 Menit,sedang,7 Menit,lancar,7 Menit,lancar,7 Menit,sedang,8 Menit,lancar,7 Menit,lancar,8 Menit
Jl. Ngesrep Timur Dalam 3,banyumanik,137 M,3 M,Sedang,lancar,8 Menit,lancar,7 Menit,sedang,8 Menit,sedang,8 Menit,sedang,8 Menit,,8 Menit,sedang,8 Menit,sedang,8 Menit,lancar,6 Menit,sedang,8 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit
